iter	Passed	Remaining
411	3709	86330
412	3717	86304
413	3726	86288
414	3734	86258
415	3743	86244
416	3752	86238
417	3761	86231
418	3769	86198
419	3777	86165
420	3786	86161
421	3795	86150
422	3804	86126
423	3812	86106
424	3821	86089
425	3829	86060
426	3838	86050
427	3847	86046
428	3856	86028
429	3863	85991
430	3872	85979
431	3881	85968
432	3889	85938
433	3897	85910
434	3906	85894
435	3914	85877
436	3923	85859
437	3931	85821
438	3939	85806
439	3947	85770
440	3956	85753
441	3965	85755
442	3974	85752
443	3983	85729
444	3992	85720
445	4000	85704
446	4010	85700
447	4018	85677
448	4027	85668
449	4036	85666
450	4045	85650
451	4054	85640
452	4063	85637
453	4071	85601
454	4080	85604
455	4089	85591
456	4097	85556
457	4105	85534
458	4115	85547
459	4123	85512
460	4131	85486
461	4140	85477
462	4148	85455
463	4156	85430
464	4164	85390
465	4173	85390
466	4181	85366
467	4189	85334
468	4198	85312
469	4206	85302
470	4215	85292
471	4224	85268
472	4233	85269
473	4243	85273
474	4251	85252
475	4259	85222
476	4268	85210
477	4276	85192
478	4285	85180
479	4294	85166
480	4302	85146
481	4310	85126
482	4320	85123
483	4328	85111
484	4336	85080
485	4345	85067
486	4354	85052
487	4361	85014
488	4370	85007
489	4378	84987
490	4388	84990
491	4396	84961
492	4405	84949
493	4414	84939
494	4422	84925
495	4430	84897
496	4441	84915
497	4449	84896
498	4457	84869
499	4465	84852
500	4474	84834
501	4482	84818
502	4491	84805
503	4500	84793
504	4509	84780
505	4518	84777
506	4527	84769
507	4536	84771
508	4546	84771
509	4553	84734
510	4561	84711
511	4569	84685
512	4580	84703
513	4590	84712
514	4599	84716
515	4609	84714
516	4618	84715
517	4628	84720
518	4637	84713
519	4647	84734
520	4657	84732
521	4665	84713
522	4674	84701
523	4682	84671
524	4690	84647
525	4698	84620
526	4706	84609
527	4715	84599
528	4724	84584
529	4734	84591
530	4742	84576
531	4751	84565
532	4760	84553
533	4769	84545
534	4777	84515
535	4787	84528
536	4794	84494
537	4804	84491
538	4813	84497
539	4822	84483
540	4831	84474
541	4841	84480
542	4850	84474
543	4858	84448
544	4866	84431
545	4874	84410
546	4884	84403
547	4892	84390
548	4901	84378
549	4909	84351
550	4917	84337
551	4925	84310
552	4934	84299
553	4942	84273
554	4950	84252
555	4959	84242
556	4967	84214
557	4976	84201
558	4984	84177
559	4992	84162
560	5001	84152
561	5009	84133
562	5018	84122
563	5027	84109
564	5035	84086
565	5044	84078
566	5051	84048
567	5061	84049
568	5069	84028
569	5078	84017
570	5086	83997
571	5095	83990
572	5103	83965
573	5112	83957
574	5120	83931
575	5129	83916
576	5137	83894
577	5146	83893
578	5154	83873
579	5162	83853
580	5170	83827
581	5179	83817
582	5187	83785
583	5195	83775
584	5205	83771
585	5213	83756
586	5221	83734
587	5230	83721
588	5238	83707
589	5248	83708
590	5256	83689
591	5265	83685
592	5274	83669
593	5282	83653
594	5291	83642
595	5300	83637
596	5308	83614
597	5317	83609
598	5326	83604
599	5335	83590
600	5343	83567
601	5352	83556
602	5360	83532
603	5368	83515
604	5377	83509
605	5386	83494
606	5394	83479
607	5403	83466
608	5411	83448
609	5419	83422
610	5428	83418
611	5438	83422
612	5447	83424
613	5457	83420
614	5465	83405
615	5473	83386
616	5481	83363
617	5490	83348
618	5498	83335
619	5507	83321
620	5515	83299
621	5522	83268
622	5530	83243
623	5539	83237
624	5548	83230
625	5557	83214
626	5565	83196
627	5573	83179
628	5582	83165
629	5590	83154
630	5598	83131
631	5606	83100
632	5615	83095
633	5624	83089
634	5633	83081
635	5641	83067
636	5650	83054
637	5658	83037
638	5666	83015
639	5676	83011
640	5684	83002
641	5693	82993
642	5702	82981
643	5710	82960
644	5719	82954
645	5727	82927
646	5735	82911
647	5743	82887
648	5752	82877
649	5760	82860
650	5768	82847
651	5777	82827
652	5786	82822
653	5795	82816
654	5803	82806
655	5811	82781
656	5820	82770
657	5829	82760
658	5838	82757
659	5846	82740
660	5855	82726
661	5863	82714
662	5872	82705
663	5881	82698
664	5891	82698
665	5899	82683
666	5908	82670
667	5915	82643
668	5924	82629
669	5931	82604
670	5939	82574
671	5948	82568
672	5956	82552
673	5965	82540
674	5973	82521
675	5982	82522
676	5992	82516
677	6000	82506
678	6009	82490
679	6017	82477
680	6025	82453
681	6034	82446
682	6042	82429
683	6051	82414
684	6060	82413
685	6070	82417
686	6079	82419
687	6090	82432
688	6099	82433
689	6110	82452
690	6120	82450
691	6130	82459
692	6140	82462
693	6150	82468
694	6159	82469
695	6169	82466
696	6178	82463
697	6187	82457
698	6195	82435
699	6204	82431
700	6213	82420
701	6222	82419
702	6231	82411
703	6240	82407
704	6251	82420
705	6261	82423
706	6270	82419
707	6280	82427
708	6289	82420
709	6297	82399
710	6305	82383
711	6314	82369
712	6322	82351
713	6330	82336
714	6340	82337
715	6349	82324
716	6358	82320
717	6366	82307
718	6374	82286
719	6383	82272
720	6391	82258
721	6400	82254
722	6409	82238
723	6417	82222
724	6426	82212
725	6435	82203
726	6443	82189
727	6452	82175
728	6461	82176
729	6470	82165
730	6479	82157
731	6487	82136
732	6496	82132
733	6505	82118
734	6514	82112
735	6523	82109
736	6532	82108
737	6542	82105
738	6552	82111
739	6561	82112
740	6571	82108
741	6581	82118
742	6590	82105
743	6599	82109
744	6610	82114
745	6619	82110
746	6628	82102
747	6638	82105
748	6648	82111
749	6657	82111
750	6667	82118
751	6677	82121
752	6687	82126
753	6696	82119
754	6706	82123
755	6716	82125
756	6726	82132
757	6736	82141
758	6746	82138
759	6755	82131
760	6763	82118
761	6773	82116
762	6782	82115
763	6792	82116
764	6801	82109
765	6810	82105
766	6819	82089
767	6828	82081
768	6837	82073
769	6845	82062
770	6854	82055
771	6865	82062
772	6875	82070
773	6884	82062
774	6894	82062
775	6903	82060
776	6912	82049
777	6921	82041
778	6932	82053
779	6941	82057
780	6951	82054
781	6961	82054
782	6971	82060
783	6979	82046
784	6987	82028
785	6995	82002
786	7003	81989
787	7013	81990
788	7023	81992
789	7033	81995
790	7042	81988
791	7050	81971
792	7059	81963
793	7067	81939
794	7076	81937
795	7085	81929
796	7094	81915
797	7103	81907
798	7112	81901
799	7120	81889
800	7128	81870
801	7137	81854
802	7144	81830
803	7153	81815
804	7162	81814
805	7171	81800
806	7180	81796
807	7187	81769
808	7195	81749
809	7203	81725
810	7212	81724
811	7221	81708
812	7229	81692
813	7238	81687
814	7246	81672
815	7255	81660
816	7264	81653
817	7273	81646
818	7283	81643
819	7292	81645
820	7302	81644
821	7312	81647
822	7321	81638
823	7331	81639
824	7341	81644
825	7350	81642
826	7359	81626
827	7367	81614
828	7375	81593
829	7385	81594
830	7393	81582
831	7403	81576
832	7411	81559
833	7419	81545
834	7429	81541
835	7437	81532
836	7447	81526
837	7455	81510
838	7463	81496
839	7471	81474
840	7480	81462
841	7489	81460
842	7497	81440
843	7505	81426
844	7514	81409
845	7521	81388
846	7530	81375
847	7538	81361
848	7546	81341
849	7554	81327
850	7563	81317
851	7572	81303
852	7580	81289
853	7588	81269
854	7596	81253
855	7605	81243
856	7614	81240
857	7623	81224
858	7631	81208
859	7639	81195
860	7648	81179
861	7656	81163
862	7664	81147
863	7673	81142
864	7682	81135
865	7691	81125
866	7699	81108
867	7708	81095
868	7716	81083
869	7724	81067
870	7734	81064
871	7742	81050
872	7751	81038
873	7759	81022
874	7767	81007
875	7776	80996
876	7784	80978
877	7793	80970
878	7802	80958
879	7811	80953
880	7820	80946
881	7828	80927
882	7835	80906
883	7845	80901
884	7854	80893
885	7862	80876
886	7870	80865
887	7879	80858
888	7888	80841
889	7896	80826
890	7904	80806
891	7912	80796
892	7921	80783
893	7929	80771
894	7938	80755
895	7946	80739
896	7955	80738
897	7966	80748
898	7976	80748
899	7985	80745
900	7994	80737
901	8003	80724
902	8012	80714
903	8021	80708
904	8029	80698
905	8038	80682
906	8047	80674
907	8056	80669
908	8064	80656
909	8074	80656
910	8082	80639
911	8090	80626
912	8098	80607
913	8106	80589
914	8115	80573
915	8122	80553
916	8131	80546
917	8140	80540
918	8149	80529
919	8158	80520
920	8167	80510
921	8175	80498
922	8184	80484
923	8193	80478
924	8201	80467
925	8211	80465
926	8220	80454
927	8228	80444
928	8236	80427
929	8245	80416
930	8253	80402
931	8262	80394
932	8271	80385
933	8281	80382
934	8289	80371
935	8298	80360
936	8306	80346
937	8316	80341
938	8324	80331
939	8333	80322
940	8344	80328
941	8353	80328
942	8362	80317
943	8371	80306
944	8378	80286
945	8387	80277
946	8397	80274
947	8405	80264
948	8414	80255
949	8423	80247
950	8432	80232
951	8439	80213
952	8448	80207
953	8458	80201
954	8467	80200
955	8477	80195
956	8486	80196
957	8496	80191
958	8506	80192
959	8516	80193
960	8525	80186
961	8535	80192
962	8545	80191
963	8554	80187
964	8564	80188
965	8572	80170
966	8582	80171
967	8592	80169
968	8600	80152
969	8608	80135
970	8616	80118
971	8625	80110
972	8632	80088
973	8641	80077
974	8648	80053
975	8657	80045
976	8666	80041
977	8676	80039
978	8686	80038
979	8696	80040
980	8705	80036
981	8715	80038
982	8724	80027
983	8733	80020
984	8741	80004
985	8750	79998
986	8759	79988
987	8769	79986
988	8777	79975
989	8786	79969
990	8794	79951
991	8803	79945
992	8812	79930
993	8820	79916
994	8829	79904
995	8838	79897
996	8846	79883
997	8855	79873
998	8863	79857
999	8872	79853
1000	8880	79838
1001	8889	79826
1002	8897	79811
1003	8906	79806
1004	8915	79796
1005	8923	79780
1006	8933	79776
1007	8942	79769
1008	8951	79760
